Taxon	M.02.c.S52	M.1.b.S33	M.min.b.S16	M.2.c.S35	M.01.a.S22	M.02.b.S59	M.01.c.S3	M.005.b.S39	S.02.a.S32	M.05.c.S36	M.005.c.S47	M.min.a.S30	S.005.c.S15	M.min.c.S48	M.05.a.S44	M.2.a.S38	M.005.a.S53	S.005.a.S41	S.01.b.S9	S.01.c.S25	M.1.c.S31	M.1.a.S40	M.02.a.S29	M.05.b.S19	S.01.a.S45	M.01.b.S60	M.2.b.S50	S.005.b.S5	S.02.b.S61	S.2.b.S20	S.05.c.S54	S.min.a.S21	S.1.b.S49	S.min.b.S4	S.1.a.S7	S.min.c.S10	S.2.c.S55	S.05.b.S24	S.05.a.S51	S.02.c.S2	S.1.c.S14	S.2.a.S18
d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96	154	180	304	146	286	259	307	323	0	203	311	407	0	455	169	138	307	0	0	0	215	234	242	229	0	370	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__uncultured_bacterium	146	117	202	91	282	220	292	299	221	148	239	263	95	259	161	155	285	134	183	180	135	161	200	151	197	327	235	180	235	141	155	77	202	143	167	102	181	205	271	244	214	157
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Geodermatophilaceae; g__Blastococcus	144	284	131	209	199	211	140	220	629	247	201	87	554	151	229	228	274	559	652	745	276	332	339	247	686	264	278	744	763	446	747	481	505	582	667	572	522	944	990	812	753	541
d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae; s__uncultured_crenarchaeote	144	547	154	532	236	287	360	136	1	297	277	93	3	172	443	916	308	0	0	0	572	532	256	547	0	544	985	5	0	0	0	2	0	4	0	3	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Niastella; s__uncultured_Niastella	142	11	24	10	12	77	28	60	0	49	15	42	0	35	12	9	19	0	0	0	23	6	208	6	0	73	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	142	280	163	352	216	349	241	173	80	320	213	86	57	127	350	393	231	61	101	114	313	312	341	327	88	304	374	90	103	116	90	75	113	83	111	34	199	176	112	94	101	102
d__Bacteria; p__Myxococcota; c__bacteriap25; o__bacteriap25; f__bacteriap25; g__bacteriap25	141	257	176	292	288	286	247	206	0	270	263	249	17	217	364	251	255	0	29	3	278	380	260	316	12	300	355	8	0	52	10	9	32	5	11	1	62	7	24	12	25	45
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__uncultured_Gemmatimonadales	136	111	132	30	98	207	142	87	0	138	183	106	0	95	136	92	257	0	0	0	185	116	193	174	0	254	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	134	208	266	155	241	214	242	351	0	223	294	511	0	463	283	207	233	0	0	0	318	323	267	331	0	207	242	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	134	233	175	120	240	188	192	253	8	195	225	222	0	184	321	124	240	0	0	3	229	245	310	283	0	201	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	132	269	145	330	214	157	207	184	3	207	219	202	3	172	269	384	180	7	7	9	317	281	285	298	4	201	479	13	11	30	0	2	20	0	12	4	7	9	13	4	2	16
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured	131	154	295	155	228	174	242	254	3	258	331	315	0	410	257	170	295	1	1	17	159	243	265	274	13	313	217	0	0	34	14	10	0	10	4	0	31	0	0	0	0	10
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Azospirillales; f__uncultured; g__uncultured; s__uncultured_bacterium	131	155	155	142	206	227	233	161	0	185	282	140	0	146	238	237	245	2	0	0	249	178	252	221	0	320	274	0	0	0	0	0	0	0	0	0	21	0	0	0	0	6
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus	128	88	211	249	123	171	139	113	56	173	242	152	30	123	195	107	252	25	35	90	171	281	397	173	41	415	91	74	75	23	50	78	103	155	167	84	54	86	124	127	152	102
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys	127	181	295	226	221	203	337	341	0	233	254	453	0	485	213	259	310	0	0	0	244	208	183	297	0	276	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	124	103	113	90	165	135	158	90	177	180	98	137	158	166	142	118	143	222	122	144	210	127	172	141	197	117	126	217	163	55	157	180	64	193	87	198	49	102	157	121	74	147
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	118	83	39	78	97	136	108	79	70	77	111	74	87	101	71	65	160	52	101	97	146	91	189	84	106	152	57	85	23	0	84	72	21	57	42	98	0	101	43	81	37	37
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_Holophaga	114	45	130	65	110	223	98	84	0	79	157	78	0	106	115	57	160	0	0	0	101	125	291	106	0	223	56	3	0	0	0	0	0	0	2	3	0	2	0	2	2	0
d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136	111	134	215	67	176	210	185	213	0	136	160	216	0	255	126	133	178	0	0	0	120	131	94	123	0	200	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	111	158	130	117	140	134	120	106	0	146	120	119	2	138	176	142	205	6	18	10	155	208	175	218	6	160	97	10	12	23	11	11	18	2	15	13	32	4	15	3	11	34
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Elsterales; f__uncultured; g__uncultured; s__uncultured_bacterium	111	245	115	218	139	169	131	105	0	199	170	169	0	131	190	218	151	0	0	0	221	284	257	255	0	229	215	0	2	0	0	1	0	0	3	0	4	0	2	0	0	1
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03; s__uncultured_bacterium	109	60	171	31	222	184	164	181	0	168	157	278	4	243	163	58	165	0	0	3	167	75	175	139	0	163	68	2	0	0	3	2	0	0	0	0	0	5	3	0	4	2
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia	107	196	164	287	100	206	112	111	287	192	195	140	274	195	211	239	216	241	256	268	289	289	234	216	207	205	263	305	368	277	251	196	311	256	361	178	266	369	332	326	347	322
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae	106	48	290	24	124	178	101	77	69	49	250	134	137	136	70	37	292	101	115	87	31	32	209	48	134	271	22	143	69	86	81	188	58	169	37	230	46	114	63	76	54	43
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae	104	121	234	130	188	193	267	299	0	190	188	318	0	248	225	198	194	0	2	0	117	195	183	234	0	182	246	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03; s__uncultured_bacterium	104	59	143	121	163	142	143	230	0	131	216	235	2	260	131	199	140	0	0	0	117	172	144	132	0	121	271	1	2	2	2	3	0	0	0	2	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	104	51	95	109	105	199	126	105	0	123	108	72	0	88	161	49	149	2	0	0	105	92	206	144	4	189	49	0	0	0	2	0	0	2	2	2	3	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured; s__uncultured_Acidobacteriales	101	62	141	38	203	204	230	295	0	155	166	248	1	269	140	30	267	0	0	1	86	124	201	132	0	170	55	2	0	3	1	0	0	0	1	2	6	1	2	0	0	2
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	100	130	101	96	174	259	171	146	0	191	246	104	0	144	157	133	228	2	3	0	180	176	267	221	0	199	176	0	3	2	0	2	2	0	4	0	2	0	2	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	99	64	66	96	61	91	55	43	128	139	71	40	189	68	68	53	70	192	161	213	51	108	144	73	204	107	64	276	171	90	275	282	147	317	215	343	185	259	144	197	142	96
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	98	195	159	136	165	101	111	183	0	243	145	252	0	225	166	181	185	0	0	0	290	397	180	308	0	111	225	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__Acidobacteriaceae_bacterium	97	66	73	79	82	170	78	67	0	78	123	31	0	53	150	97	121	1	4	0	120	83	203	132	0	151	82	5	0	2	0	0	0	5	5	2	0	1	3	0	0	6
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured	96	133	186	148	207	181	171	183	0	179	180	173	1	183	232	132	219	0	0	0	170	246	215	232	1	187	143	3	1	3	1	1	1	0	0	0	4	0	1	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured	95	39	154	59	226	176	247	222	0	129	221	283	0	275	152	41	256	0	2	0	61	100	145	159	0	129	82	3	0	2	0	0	2	2	0	2	0	0	0	2	0	2
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter	91	253	194	287	192	136	226	190	0	244	135	197	0	168	255	313	145	0	0	3	283	366	183	286	0	168	303	0	1	0	0	0	6	0	4	0	4	0	0	0	0	7
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	90	108	209	147	159	124	207	225	0	155	224	348	0	317	244	223	198	0	0	0	218	195	186	176	0	163	170	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	90	160	91	161	112	84	143	171	94	146	134	168	100	136	212	188	172	129	170	105	224	224	190	233	142	161	242	161	137	183	136	94	127	129	123	109	175	126	160	127	158	118
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Kineosporiales; f__Kineosporiaceae; g__Kineosporia	88	82	17	104	45	55	59	55	15	50	52	23	81	15	92	93	113	22	44	67	141	111	84	93	60	127	163	54	27	14	66	12	65	30	13	24	46	107	32	67	60	26
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	87	160	180	121	147	178	152	156	0	1463	140	228	5	162	191	161	200	0	0	3	250	276	196	334	2	184	162	5	0	0	0	0	0	0	0	2	4	0	2	0	0	0
d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter	85	371	214	446	237	164	254	262	2	263	199	247	0	296	356	489	162	0	0	8	431	466	157	469	0	246	531	11	0	59	0	7	0	19	11	0	67	0	6	0	17	83
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41	82	144	92	143	130	68	147	136	360	131	118	116	358	129	205	169	84	450	397	344	161	202	76	158	458	123	305	397	505	424	514	307	345	276	365	356	548	525	466	353	372	311
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella	80	166	95	73	114	140	103	95	8	118	91	90	4	71	195	110	166	5	13	16	153	144	145	212	12	187	142	7	22	23	17	4	11	5	13	2	34	12	3	8	10	10
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	79	68	79	44	108	191	163	127	61	498	137	157	73	191	152	117	163	61	37	65	132	57	219	150	66	163	141	92	66	32	158	90	97	79	32	55	42	166	96	80	125	22
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	79	57	14	33	49	82	38	65	0	97	57	9	0	13	78	47	67	0	0	0	63	56	86	97	0	82	91	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus	78	167	218	270	117	217	96	66	0	113	206	104	16	130	180	213	187	0	0	0	130	1008	196	101	0	249	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__uncultured_Acidobacteriaceae	78	219	96	264	101	81	82	131	2	138	121	72	0	134	153	295	121	2	0	0	212	276	132	276	0	132	398	1	0	0	0	2	0	0	0	2	1	0	0	0	4	0
d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured_Gemmatimonas	78	73	99	32	100	89	88	143	0	130	169	94	0	99	100	27	151	0	0	0	93	64	129	80	0	145	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Flavisolibacter	78	164	104	109	218	184	169	192	0	183	231	92	0	88	176	137	147	0	7	0	130	200	248	201	0	204	220	0	6	25	24	0	48	0	25	0	95	0	36	0	35	47
d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136; s__uncultured_bacterium	77	88	201	89	143	147	142	184	1	117	162	232	1	223	91	99	191	0	0	0	101	154	112	77	0	199	128	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter	77	34	56	29	29	77	39	38	0	60	48	40	0	33	76	53	46	0	0	0	51	59	98	39	0	67	68	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__JGI_0001001-H03	76	56	260	46	131	94	154	202	0	152	129	358	0	339	113	35	163	0	0	0	59	57	86	42	0	93	79	2	0	2	0	0	0	0	0	3	0	0	2	0	2	2
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Porphyrobacter	76	101	79	121	109	106	120	119	0	160	153	114	0	130	185	126	112	6	1	4	140	127	131	168	0	94	91	3	0	0	0	0	6	0	2	2	5	2	2	1	0	6
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae	75	87	58	81	42	61	41	77	0	50	78	44	11	39	60	84	98	1	0	1	127	83	81	88	30	120	83	0	7	4	23	0	13	0	0	6	15	0	14	39	0	0
d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__uncultured; s__uncultured_Ktedobacteria	75	34	28	33	143	178	74	49	0	38	90	28	0	32	63	82	82	0	2	4	85	41	111	58	0	141	68	0	0	0	0	2	0	2	0	2	0	0	0	0	0	3
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	74	41	121	67	122	81	126	155	0	95	113	164	0	189	67	25	119	0	0	0	39	60	201	77	0	122	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	74	78	85	14	128	82	127	124	0	104	112	130	0	136	89	17	105	0	0	0	75	46	123	125	0	52	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae	73	92	75	168	46	75	72	74	58	98	91	78	31	68	132	163	127	45	52	65	136	151	121	159	48	120	170	41	80	0	79	25	34	25	60	21	12	91	67	90	64	38
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Geodermatophilaceae	73	161	145	147	90	160	89	86	0	157	157	103	0	94	120	82	195	0	0	0	138	167	201	149	0	187	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured	72	72	43	90	75	105	97	117	2	115	76	106	3	80	126	100	108	0	0	0	138	122	124	114	0	80	154	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter; s__metagenome	72	51	47	64	105	128	100	56	29	72	94	59	23	74	117	111	109	32	28	7	79	101	125	138	18	124	75	28	18	11	20	10	15	13	30	31	21	42	45	42	30	12
d__Bacteria; p__Firmicutes; c__Bacilli; o__Alicyclobacillales; f__Alicyclobacillaceae; g__Tumebacillus; s__uncultured_bacterium	71	133	140	186	66	184	25	89	0	85	195	101	15	120	136	56	179	10	40	52	103	106	249	76	17	221	92	57	13	28	3	45	24	25	19	17	99	7	12	4	66	24
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	69	69	39	76	34	111	54	27	172	78	56	20	137	33	62	88	82	105	164	205	85	64	123	79	158	115	85	157	270	105	126	110	148	182	250	79	112	193	185	336	174	93
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__uncultured_Hyphomicrobiaceae	69	54	86	67	55	42	66	58	13	59	87	75	6	80	107	63	74	27	36	39	106	80	109	75	33	91	101	26	34	32	22	35	48	31	28	50	42	59	58	36	19	16
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7	69	202	93	167	122	164	164	122	45	104	121	74	53	86	172	165	115	75	62	87	152	232	166	217	95	164	195	55	87	169	90	29	117	62	190	51	227	126	125	66	115	138
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	68	188	49	241	92	76	90	88	0	236	67	84	35	108	201	237	60	19	16	48	237	212	165	130	21	73	297	15	25	43	29	0	52	0	12	0	61	29	4	37	19	11
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__Nitrosospira	68	308	110	410	121	116	93	101	84	232	152	92	65	152	244	455	219	84	101	98	399	456	195	391	83	180	579	131	102	255	146	77	182	173	99	65	295	158	164	87	235	123
d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira	68	208	139	296	193	91	201	134	432	167	172	204	416	156	276	430	165	536	512	471	356	333	182	266	530	216	614	559	421	490	360	311	412	416	499	382	534	634	611	627	550	447
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	68	128	248	111	131	126	186	217	11	193	202	257	7	304	250	104	207	11	13	11	169	231	199	303	11	220	197	4	8	0	5	7	0	20	5	19	31	17	3	15	26	17
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Intrasporangiaceae; g__Terrabacter	66	105	61	119	77	95	60	76	2	118	73	70	8	82	110	69	100	14	9	9	90	116	92	90	8	96	95	9	15	13	0	4	0	19	4	17	18	11	15	20	4	17
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Dokdonella; s__uncultured_Dokdonella	66	63	28	36	66	81	55	71	0	103	62	61	6	38	86	54	90	14	6	2	119	72	124	98	0	79	72	7	6	14	0	1	9	0	13	1	11	2	1	0	10	11
